Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Hour
1972-08-25 04:00:00+00:00,0.0114625957788015,0.0116830819304233,0.0114625957788015,0.0116386599838733,7526400,0.0,0.0,1972,8,25,4
1972-08-28 04:00:00+00:00,0.0116386627517232,0.0117269658084676,0.0115947816520929,0.0115947816520929,2918400,0.0,0.0,1972,8,28,4
1972-08-29 04:00:00+00:00,0.011550900222944,0.011550900222944,0.0114625971764326,0.0114625971764326,5836800,0.0,0.0,1972,8,29,4
1972-08-30 04:00:00+00:00,0.0114625971764326,0.0114625971764326,0.0113742941299211,0.0114625971764326,1228800,0.0,0.0,1972,8,30,4
1972-08-31 04:00:00+00:00,0.0113742991500281,0.0113742991500281,0.0112859960645437,0.0112859960645437,2611200,0.0,0.0,1972,8,31,4
1972-09-01 04:00:00+00:00,0.0113304201549826,0.011374301277101,0.0113304201549826,0.011374301277101,768000,0.0,0.0,1972,9,1,4
1972-09-05 04:00:00+00:00,0.0113742991500281,0.0113742991500281,0.0112859960645437,0.0112859960645437,1689600,0.0,0.0,1972,9,5,4
1972-09-06 04:00:00+00:00,0.011374301277101,0.011374301277101,0.011374301277101,0.011374301277101,768000,0.0,0.0,1972,9,6,4
1972-09-07 04:00:00+00:00,0.0113742984686688,0.0113742984686688,0.0113304173573851,0.0113304173573851,3532800,0.0,0.0,1972,9,7,4
1972-09-08 04:00:00+00:00,0.0112859960526616,0.0112859960526616,0.0112421149387955,0.0112421149387955,1996800,0.0,0.0,1972,9,8,4
1972-09-11 04:00:00+00:00,0.0113304173573851,0.0113304173573851,0.0113304173573851,0.0113304173573851,2764800,0.0,0.0,1972,9,11,4
1972-09-12 04:00:00+00:00,0.0113304173573851,0.0113304173573851,0.0113304173573851,0.0113304173573851,1843200,0.0,0.0,1972,9,12,4
1972-09-13 04:00:00+00:00,0.0113304173573851,0.0113304173573851,0.0113304173573851,0.0113304173573851,460800,0.0,0.0,1972,9,13,4
1972-09-14 04:00:00+00:00,0.0113304183873988,0.0114181796088814,0.0112859964144493,0.0114181796088814,3840000,0.0,0.0,1972,9,14,4
1972-09-15 04:00:00+00:00,0.0113742984686688,0.0113742984686688,0.0113304173573851,0.0113304173573851,1536000,0.0,0.0,1972,9,15,4
1972-09-18 04:00:00+00:00,0.011374301277101,0.0114181813901563,0.011374301277101,0.011374301277101,3225600,0.0,0.0,1972,9,18,4
1972-09-19 04:00:00+00:00,0.0113304180361159,0.0113304180361159,0.0112421149506314,0.0112859960645437,9369600,0.0,0.0,1972,9,19,4
1972-09-20 04:00:00+00:00,0.0111982431262731,0.0111982431262731,0.0111982431262731,0.0111982431262731,153600,0.0,0.0,1972,9,20,4
1972-09-21 04:00:00+00:00,0.0111099316939338,0.0111099316939338,0.0108455643057823,0.0108455643057823,4300800,0.0,0.0,1972,9,21,4
1972-09-22 04:00:00+00:00,0.0108011411800709,0.0108011411800709,0.010448470711708,0.010448470711708,2611200,0.0,0.0,1972,9,22,4
1972-09-25 04:00:00+00:00,0.0104045916069385,0.0104045916069385,0.0101396823301911,0.0101396823301911,2918400,0.0,0.0,1972,9,25,4
1972-09-26 04:00:00+00:00,0.0101396851277916,0.0101396851277916,0.0100519238780928,0.0100958039984107,2150400,0.0,0.0,1972,9,26,4
1972-09-27 04:00:00+00:00,0.0100074965586995,0.0100074965586995,0.0098753133788704,0.0098753133788704,1996800,0.0,0.0,1972,9,27,4
1972-09-28 04:00:00+00:00,0.0100519211047062,0.0102279854224402,0.0100519211047062,0.0101396823301911,4300800,0.0,0.0,1972,9,28,4
1972-09-29 04:00:00+00:00,0.0102279840725098,0.0102724060416221,0.0102279840725098,0.0102724060416221,768000,0.0,0.0,1972,9,29,4
1972-10-02 04:00:00+00:00,0.0103601684091163,0.0107572618871927,0.0103601684091163,0.0107572618871927,4915200,0.0,0.0,1972,10,2,4
1972-10-03 04:00:00+00:00,0.0108455662545941,0.0109333274886012,0.0108455662545941,0.0109333274886012,1536000,0.0,0.0,1972,10,3,4
1972-10-04 04:00:00+00:00,0.0109777482056195,0.0112421156108764,0.0109777482056195,0.0111538125202059,4608000,0.0,0.0,1972,10,4,4
1972-10-05 04:00:00+00:00,0.0110877202037489,0.0110877202037489,0.0108455643057823,0.0108455643057823,4147200,0.0,0.0,1972,10,5,4
1972-10-06 04:00:00+00:00,0.0108011478539225,0.0108011478539225,0.0104045970365405,0.0104045970365405,29337600,0.0,0.0,1972,10,6,4
1972-10-09 04:00:00+00:00,0.0104923530248225,0.0105806561186909,0.0104923530248225,0.0105806561186909,3840000,0.0,0.0,1972,10,9,4
1972-10-10 04:00:00+00:00,0.0105806561186909,0.0105806561186909,0.0105806561186909,0.0105806561186909,0,0.0,0.0,1972,10,10,4
1972-10-11 04:00:00+00:00,0.0105806535837402,0.0106250755488872,0.0104923505110277,0.0106250755488872,1382400,0.0,0.0,1972,10,11,4
1972-10-12 04:00:00+00:00,0.0105806561109894,0.0105806561109894,0.0105367749929428,0.0105367749929428,1075200,0.0,0.0,1972,10,12,4
